$GPGGA,190818.400,3921.8135,N,07503.1259,W,1,10,0.80,32.0,M,-34.1,M,,*68
$GPGGA,190818.600,3921.8115,N,07503.1276,W,1,10,0.80,31.9,M,-34.1,M,,*6F
$GPGGA,190818.800,3921.8096,N,07503.1293,W,1,10,0.80,31.7,M,-34.1,M,,*6E
$GPGGA,190819.000,3921.8077,N,07503.1311,W,1,10,0.80,31.7,M,-34.1,M,,*63
$GPGGA,190819.200,3921.8057,N,07503.1328,W,1,10,0.80,31.6,M,-34.1,M,,*68
$GPGGA,190819.400,3921.8037,N,07503.1347,W,1,10,0.80,31.4,M,-34.1,M,,*63
$GPGGA,190819.600,3921.8016,N,07503.1366,W,1,10,0.80,31.4,M,-34.1,M,,*61
$GPGGA,190819.800,3921.7996,N,07503.1385,W,1,10,0.80,31.3,M,-34.1,M,,*6B
$GPGGA,190820.000,3921.7975,N,07503.1404,W,1,10,0.80,31.2,M,-34.1,M,,*6B
$GPGGA,190820.200,3921.7954,N,07503.1423,W,1,10,0.80,31.2,M,-34.1,M,,*6F
$GPGGA,190820.400,3921.7933,N,07503.1442,W,1,10,0.80,31.1,M,-34.1,M,,*6C
$GPGGA,190820.600,3921.7912,N,07503.1462,W,1,10,0.80,31.0,M,-34.1,M,,*6E
$GPGGA,190820.800,3921.7890,N,07503.1482,W,1,10,0.80,31.0,M,-34.1,M,,*65
$GPGGA,190821.000,3921.7867,N,07503.1502,W,1,10,0.80,31.0,M,-34.1,M,,*6D
$GPGGA,190821.200,3921.7845,N,07503.1523,W,1,10,0.80,31.0,M,-34.1,M,,*6C
$GPGGA,190821.400,3921.7822,N,07503.1544,W,1,10,0.80,31.0,M,-34.1,M,,*6A
$GPGGA,190821.600,3921.7800,N,07503.1564,W,1,10,0.80,30.9,M,-34.1,M,,*62
$GPGGA,190821.800,3921.7777,N,07503.1585,W,1,10,0.80,30.9,M,-34.1,M,,*6C
$GPGGA,190822.000,3921.7753,N,07503.1606,W,1,10,0.80,30.9,M,-34.1,M,,*69
$GPGGA,190822.200,3921.7730,N,07503.1627,W,1,10,0.80,30.9,M,-34.1,M,,*6D
$GPGGA,190822.400,3921.7707,N,07503.1649,W,1,10,0.80,30.8,M,-34.1,M,,*66
$GPGGA,190822.600,3921.7684,N,07503.1670,W,1,10,0.80,30.7,M,-34.1,M,,*6B
$GPGGA,190822.800,3921.7661,N,07503.1690,W,1,10,0.80,30.6,M,-34.1,M,,*61
$GPGGA,190823.000,3921.7638,N,07503.1712,W,1,10,0.80,30.5,M,-34.1,M,,*6C
$GPGGA,190823.200,3921.7615,N,07503.1733,W,1,10,0.80,30.4,M,-34.1,M,,*63
$GPGGA,190823.400,3921.7591,N,07503.1754,W,1,10,0.80,30.3,M,-34.1,M,,*6C
$GPGGA,190823.600,3921.7568,N,07503.1775,W,1,10,0.80,30.1,M,-34.1,M,,*69
$GPGGA,190823.800,3921.7545,N,07503.1796,W,1,10,0.80,29.9,M,-34.1,M,,*65
$GPGGA,190824.000,3921.7522,N,07503.1818,W,1,10,0.80,29.8,M,-34.1,M,,*63
$GPGGA,190824.200,3921.7499,N,07503.1839,W,1,10,0.80,29.7,M,-34.1,M,,*6C
$GPGGA,190824.400,3921.7476,N,07503.1860,W,1,10,0.80,29.5,M,-34.1,M,,*65
$GPGGA,190824.600,3921.7453,N,07503.1882,W,1,10,0.80,29.3,M,-34.1,M,,*6A
$GPGGA,190824.800,3921.7429,N,07503.1903,W,1,10,0.80,29.2,M,-34.1,M,,*60
$GPGGA,190825.000,3921.7406,N,07503.1924,W,1,10,0.80,29.0,M,-34.1,M,,*63
$GPGGA,190825.200,3921.7382,N,07503.1946,W,1,10,0.80,28.9,M,-34.1,M,,*66
$GPGGA,190825.400,3921.7359,N,07503.1967,W,1,10,0.80,28.9,M,-34.1,M,,*65
$GPGGA,190825.600,3921.7335,N,07503.1989,W,1,10,0.80,28.7,M,-34.1,M,,*63
$GPGGA,190825.800,3921.7311,N,07503.2011,W,1,10,0.80,28.6,M,-34.1,M,,*61
$GPGGA,190826.000,3921.7287,N,07503.2032,W,1,10,0.80,28.5,M,-34.1,M,,*66
$GPGGA,190826.200,3921.7264,N,07503.2054,W,1,10,0.80,28.5,M,-34.1,M,,*69
