name,desc,latitude,longitude 
65,"RecordNo: 65, RC:7, Lat:42.450582, Long:-83.277466 ",42.450582,-83.277466
66,"RecordNo: 66, RC:7, Lat:42.450581, Long:-83.277461 ",42.450581,-83.277461
67,"RecordNo: 67, RC:9, Lat:42.450581, Long:-83.277461 ",42.450581,-83.277461
68,"RecordNo: 68, RC:9, Lat:42.450581, Long:-83.277461 ",42.450581,-83.277461
69,"RecordNo: 69, RC:9, Lat:42.450581, Long:-83.277461 ",42.450581,-83.277461
70,"RecordNo: 70, RC:9, Lat:42.450581, Long:-83.277456 ",42.450581,-83.277456
71,"RecordNo: 71, RC:10, Lat:42.450581, Long:-83.277456 ",42.450581,-83.277456
72,"RecordNo: 72, RC:10, Lat:42.450581, Long:-83.277456 ",42.450581,-83.277456
73,"RecordNo: 73, RC:10, Lat:42.450581, Long:-83.277456 ",42.450581,-83.277456
74,"RecordNo: 74, RC:10, Lat:42.450581, Long:-83.277452 ",42.450581,-83.277452
75,"RecordNo: 75, RC:11, Lat:42.450581, Long:-83.277452 ",42.450581,-83.277452
76,"RecordNo: 76, RC:11, Lat:42.450581, Long:-83.277452 ",42.450581,-83.277452
77,"RecordNo: 77, RC:11, Lat:42.450581, Long:-83.277447 ",42.450581,-83.277447
78,"RecordNo: 78, RC:12, Lat:42.450581, Long:-83.277447 ",42.450581,-83.277447
79,"RecordNo: 79, RC:12, Lat:42.450581, Long:-83.277447 ",42.450581,-83.277447
80,"RecordNo: 80, RC:12, Lat:42.450581, Long:-83.277447 ",42.450581,-83.277447
81,"RecordNo: 81, RC:12, Lat:42.450581, Long:-83.277442 ",42.450581,-83.277442
82,"RecordNo: 82, RC:14, Lat:42.450581, Long:-83.277442 ",42.450581,-83.277442
83,"RecordNo: 83, RC:14, Lat:42.450581, Long:-83.277442 ",42.450581,-83.277442
84,"RecordNo: 84, RC:14, Lat:42.450581, Long:-83.277442 ",42.450581,-83.277442
85,"RecordNo: 85, RC:14, Lat:42.450581, Long:-83.277433 ",42.450581,-83.277433
86,"RecordNo: 86, RC:15, Lat:42.450581, Long:-83.277433 ",42.450581,-83.277433
87,"RecordNo: 87, RC:15, Lat:42.450581, Long:-83.277433 ",42.450581,-83.277433
88,"RecordNo: 88, RC:15, Lat:42.450581, Long:-83.277433 ",42.450581,-83.277433
89,"RecordNo: 89, RC:15, Lat:42.450581, Long:-83.277423 ",42.450581,-83.277423
90,"RecordNo: 90, RC:18, Lat:42.450581, Long:-83.277423 ",42.450581,-83.277423
91,"RecordNo: 91, RC:18, Lat:42.450581, Long:-83.277423 ",42.450581,-83.277423
92,"RecordNo: 92, RC:18, Lat:42.450581, Long:-83.277423 ",42.450581,-83.277423
93,"RecordNo: 93, RC:18, Lat:42.450580, Long:-83.277412 ",42.45058,-83.277412
94,"RecordNo: 94, RC:20, Lat:42.450580, Long:-83.277412 ",42.45058,-83.277412
95,"RecordNo: 95, RC:20, Lat:42.450580, Long:-83.277412 ",42.45058,-83.277412
96,"RecordNo: 96, RC:20, Lat:42.450580, Long:-83.277412 ",42.45058,-83.277412
97,"RecordNo: 97, RC:20, Lat:42.450580, Long:-83.277399 ",42.45058,-83.277399
98,"RecordNo: 98, RC:20, Lat:42.450580, Long:-83.277399 ",42.45058,-83.277399
99,"RecordNo: 99, RC:20, Lat:42.450580, Long:-83.277399 ",42.45058,-83.277399
100,"RecordNo: 100, RC:20, Lat:42.450580, Long:-83.277387 ",42.45058,-83.277387
101,"RecordNo: 101, RC:21, Lat:42.450580, Long:-83.277387 ",42.45058,-83.277387
102,"RecordNo: 102, RC:21, Lat:42.450580, Long:-83.277387 ",42.45058,-83.277387
103,"RecordNo: 103, RC:21, Lat:42.450580, Long:-83.277387 ",42.45058,-83.277387
104,"RecordNo: 104, RC:21, Lat:42.450579, Long:-83.277373 ",42.450579,-83.277373
105,"RecordNo: 105, RC:23, Lat:42.450579, Long:-83.277373 ",42.450579,-83.277373
106,"RecordNo: 106, RC:23, Lat:42.450579, Long:-83.277373 ",42.450579,-83.277373
107,"RecordNo: 107, RC:23, Lat:42.450579, Long:-83.277373 ",42.450579,-83.277373
108,"RecordNo: 108, RC:23, Lat:42.450578, Long:-83.277364 ",42.450578,-83.277364
109,"RecordNo: 109, RC:23, Lat:42.450578, Long:-83.277364 ",42.450578,-83.277364
110,"RecordNo: 110, RC:23, Lat:42.450578, Long:-83.277364 ",42.450578,-83.277364
111,"RecordNo: 111, RC:23, Lat:42.450578, Long:-83.277364 ",42.450578,-83.277364
112,"RecordNo: 112, RC:23, Lat:42.450578, Long:-83.277349 ",42.450578,-83.277349
113,"RecordNo: 113, RC:24, Lat:42.450578, Long:-83.277349 ",42.450578,-83.277349
114,"RecordNo: 114, RC:24, Lat:42.450578, Long:-83.277349 ",42.450578,-83.277349
115,"RecordNo: 115, RC:24, Lat:42.450578, Long:-83.277349 ",42.450578,-83.277349
116,"RecordNo: 116, RC:24, Lat:42.450577, Long:-83.277334 ",42.450577,-83.277334
117,"RecordNo: 117, RC:24, Lat:42.450577, Long:-83.277334 ",42.450577,-83.277334
118,"RecordNo: 118, RC:24, Lat:42.450577, Long:-83.277334 ",42.450577,-83.277334
119,"RecordNo: 119, RC:24, Lat:42.450577, Long:-83.277334 ",42.450577,-83.277334
120,"RecordNo: 120, RC:24, Lat:42.450576, Long:-83.277319 ",42.450576,-83.277319
121,"RecordNo: 121, RC:25, Lat:42.450576, Long:-83.277319 ",42.450576,-83.277319
122,"RecordNo: 122, RC:25, Lat:42.450576, Long:-83.277319 ",42.450576,-83.277319
123,"RecordNo: 123, RC:25, Lat:42.450575, Long:-83.277309 ",42.450575,-83.277309
124,"RecordNo: 124, RC:26, Lat:42.450575, Long:-83.277309 ",42.450575,-83.277309
125,"RecordNo: 125, RC:26, Lat:42.450575, Long:-83.277309 ",42.450575,-83.277309
126,"RecordNo: 126, RC:26, Lat:42.450575, Long:-83.277309 ",42.450575,-83.277309
127,"RecordNo: 127, RC:26, Lat:42.450574, Long:-83.277292 ",42.450574,-83.277292
128,"RecordNo: 128, RC:27, Lat:42.450574, Long:-83.277292 ",42.450574,-83.277292
129,"RecordNo: 129, RC:27, Lat:42.450574, Long:-83.277292 ",42.450574,-83.277292
130,"RecordNo: 130, RC:27, Lat:42.450574, Long:-83.277292 ",42.450574,-83.277292
131,"RecordNo: 131, RC:27, Lat:42.450573, Long:-83.277270 ",42.450573,-83.27727
132,"RecordNo: 132, RC:28, Lat:42.450573, Long:-83.277270 ",42.450573,-83.27727
133,"RecordNo: 133, RC:28, Lat:42.450573, Long:-83.277270 ",42.450573,-83.27727
134,"RecordNo: 134, RC:28, Lat:42.450573, Long:-83.277270 ",42.450573,-83.27727
135,"RecordNo: 135, RC:28, Lat:42.450572, Long:-83.277253 ",42.450572,-83.277253
136,"RecordNo: 136, RC:29, Lat:42.450572, Long:-83.277253 ",42.450572,-83.277253
137,"RecordNo: 137, RC:29, Lat:42.450572, Long:-83.277253 ",42.450572,-83.277253
138,"RecordNo: 138, RC:29, Lat:42.450572, Long:-83.277253 ",42.450572,-83.277253
139,"RecordNo: 139, RC:29, Lat:42.450572, Long:-83.277235 ",42.450572,-83.277235
140,"RecordNo: 140, RC:29, Lat:42.450572, Long:-83.277235 ",42.450572,-83.277235
141,"RecordNo: 141, RC:29, Lat:42.450572, Long:-83.277235 ",42.450572,-83.277235
142,"RecordNo: 142, RC:29, Lat:42.450572, Long:-83.277235 ",42.450572,-83.277235
143,"RecordNo: 143, RC:29, Lat:42.450570, Long:-83.277211 ",42.45057,-83.277211
144,"RecordNo: 144, RC:30, Lat:42.450570, Long:-83.277211 ",42.45057,-83.277211
145,"RecordNo: 145, RC:30, Lat:42.450570, Long:-83.277211 ",42.45057,-83.277211
146,"RecordNo: 146, RC:32767, Lat:42.450570, Long:-83.277199 ",42.45057,-83.277199
147,"RecordNo: 147, RC:1779, Lat:42.450570, Long:-83.277199 ",42.45057,-83.277199
148,"RecordNo: 148, RC:1779, Lat:42.450570, Long:-83.277199 ",42.45057,-83.277199
